y_trust2005,y_trust2006,y_trust2007,y_trust2008,x_age2005,x_age2006,x_age2007,x_age2008,x_male2005,x_male2006,x_male2007,x_male2008,d_threat2005,d_threat2006,d_threat2007,d_threat2008,x_education2005,x_education2006,x_education2007,x_education2008,x_income2005,x_income2006,x_income2007,x_income2008,idpers
6,6,8,7,70,71,72,73,1,1,1,1,0,0,0,0,4,4,4,4,3,0,0,0,7470
8,7,5,9,70,71,72,73,0,0,0,0,0,0,0,0,4,4,4,4,NA,NA,NA,NA,7471
NA,NA,4,7,NA,NA,45,46,NA,NA,1,1,NA,NA,0,1,NA,NA,10,10,NA,NA,3,3,7472
NA,NA,3,2,NA,NA,45,46,NA,NA,0,0,NA,NA,1,0,NA,NA,4,4,NA,NA,1,1,7473
NA,NA,NA,NA,NA,NA,11,12,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,7474
9,10,10,10,42,43,44,45,0,0,0,0,0,0,0,0,9,9,9,9,1,1,1,1,7475
8,9,9,8,37,38,39,40,1,1,1,1,1,1,0,0,6,6,6,6,0,2,3,2,7476
NA,NA,NA,NA,9,10,11,12,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,7477
NA,NA,NA,NA,6,7,8,9,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,7478
NA,0,4,4,NA,55,56,57,NA,0,0,0,NA,1,1,0,NA,5,5,5,NA,NA,NA,NA,7479
8,NA,8,8,48,49,50,51,1,1,1,1,0,NA,0,0,8,8,8,8,2,NA,2,2,7480
7,8,7,8,47,48,49,50,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,7481
6,5,5,3,19,20,21,22,0,0,0,0,0,0,0,0,1,4,4,4,0,0,1,1,7482
6,5,7,6,16,17,18,19,1,1,1,1,0,0,0,0,1,1,1,4,0,0,0,0,7483
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7484
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7485
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7486
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7487
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7488
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7489
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7490
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7491
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7493
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7494
NA,NA,5,NA,NA,NA,55,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,1,NA,7495
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7496
NA,NA,5,5,NA,NA,47,48,NA,NA,0,0,NA,NA,0,0,NA,NA,4,4,NA,NA,1,1,7497
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7498
NA,NA,NA,NA,NA,NA,24,25,NA,NA,0,0,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,7499
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500
NA,8,NA,NA,NA,84,85,NA,NA,1,1,NA,NA,0,NA,NA,NA,10,10,NA,NA,NA,NA,NA,7501
NA,NA,NA,NA,NA,74,75,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,7502
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7503
NA,NA,NA,NA,46,47,48,49,1,1,1,1,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,7504
7,5,7,7,44,45,46,47,0,0,0,0,0,0,0,0,4,4,4,4,NA,NA,NA,NA,7505
5,4,0,NA,16,17,18,NA,0,0,0,NA,0,0,0,NA,1,1,1,NA,0,NA,0,NA,7506
NA,7,6,7,14,15,16,17,0,0,0,0,NA,0,0,0,0,0,0,2,NA,NA,0,0,7507
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7508
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7509
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7510
7,NA,NA,NA,43,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,10,NA,NA,NA,3,NA,NA,NA,7511
8,NA,NA,NA,41,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,7512
NA,NA,NA,NA,12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,7513
NA,NA,NA,NA,10,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,7514
NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7515
7,8,7,8,45,46,47,48,1,1,1,1,0,0,0,0,4,4,4,4,1,1,2,2,7516
NA,NA,6,NA,75,76,77,78,1,1,1,1,NA,NA,0,NA,2,2,2,2,NA,NA,NA,NA,7517
7,NA,NA,NA,62,63,64,65,0,0,0,0,0,NA,NA,NA,4,4,4,4,0,NA,NA,NA,7518
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7519
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7520
4,7,7,6,39,40,41,42,1,1,1,1,1,0,0,0,9,9,9,9,3,2,3,3,7521
NA,NA,8,5,NA,NA,57,58,NA,NA,1,1,NA,NA,0,0,NA,NA,4,4,NA,NA,2,2,7522
NA,NA,3,10,NA,NA,50,51,NA,NA,0,0,NA,NA,0,0,NA,NA,1,1,NA,NA,NA,NA,7523
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7524
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7525
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7526
NA,NA,7,7,NA,NA,22,23,NA,NA,1,1,NA,NA,0,0,NA,NA,2,2,NA,NA,1,1,7527
NA,NA,8,6,NA,NA,19,20,NA,NA,1,1,NA,NA,1,0,NA,NA,1,1,NA,NA,0,0,7528
4,3,5,4,43,44,45,46,0,0,0,0,0,0,0,0,6,6,6,6,1,1,1,1,7529
7,5,8,8,40,41,42,43,1,1,1,1,0,0,0,0,4,4,4,4,3,3,3,2,7530
NA,NA,7,7,13,14,15,16,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,7531
NA,NA,NA,NA,11,12,13,14,1,1,1,1,NA,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,7532
NA,7,5,5,NA,62,63,64,NA,0,0,0,NA,0,0,0,NA,1,1,1,NA,NA,0,NA,7533
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7534
NA,NA,NA,NA,NA,49,50,51,NA,1,1,1,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,7535
NA,5,6,5,NA,47,48,49,NA,0,0,0,NA,0,0,0,NA,4,4,4,NA,NA,0,NA,7536
NA,NA,4,9,NA,17,18,19,NA,1,1,1,NA,NA,1,0,NA,0,0,0,NA,NA,0,0,7537
NA,NA,4,5,NA,15,16,17,NA,0,0,0,NA,NA,0,0,NA,1,1,1,NA,NA,0,0,7538
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7539
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7540
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7541
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7542
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7543
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7544
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7545
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7546
5,5,5,9,82,83,84,85,1,1,1,1,0,0,0,0,4,4,4,4,NA,NA,NA,NA,7547
3,NA,3,5,59,NA,61,62,1,NA,1,1,1,NA,1,0,4,NA,4,4,NA,NA,1,1,7548
2,NA,0,0,60,NA,62,63,0,NA,0,0,0,NA,1,1,1,NA,1,1,0,NA,0,0,7549
7,7,5,7,44,45,46,47,0,0,0,0,0,0,0,1,4,4,4,4,0,0,0,0,7550
7,6,6,5,47,48,49,50,1,1,1,1,0,0,0,0,8,8,8,8,3,3,3,3,7551
6,5,5,7,17,18,19,20,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,1,7552
6,7,8,7,16,17,18,19,1,1,1,1,0,0,0,0,0,0,0,6,0,NA,0,0,7553
NA,NA,5,7,12,13,14,15,1,1,1,1,NA,NA,1,1,0,0,0,0,NA,NA,NA,0,7554
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7555
NA,7,7,7,NA,76,77,78,NA,0,0,0,NA,0,0,0,NA,1,1,1,NA,NA,NA,NA,7556
5,3,0,0,41,42,43,44,0,0,0,0,0,0,0,0,4,4,4,4,NA,NA,0,0,7557
6,6,5,6,22,23,24,25,0,0,0,0,0,1,0,0,4,4,4,4,1,1,1,1,7558
8,8,NA,NA,21,22,NA,NA,1,1,NA,NA,0,0,NA,NA,4,4,NA,NA,NA,1,NA,NA,7559
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7560
NA,NA,3,NA,12,13,14,15,0,0,0,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,7561
5,NA,NA,NA,44,45,NA,NA,0,0,NA,NA,0,NA,NA,NA,4,4,NA,NA,1,NA,NA,NA,7562
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7563
NA,NA,NA,NA,12,13,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,7564
9,8,8,7,67,68,69,70,1,1,1,1,0,0,0,0,9,9,9,9,NA,NA,0,0,7565
7,10,10,10,67,68,69,70,0,0,0,0,0,0,0,0,4,4,4,4,NA,NA,NA,NA,7566
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7567
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7568
NA,NA,NA,NA,70,71,72,73,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,7569
8,9,8,9,63,64,65,66,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,7570
NA,NA,3,2,12,13,14,15,0,0,0,0,NA,NA,1,0,1,0,0,0,NA,NA,NA,NA,7571
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7572
7,8,7,7,67,68,69,70,1,1,1,1,0,0,0,0,8,8,8,8,NA,NA,NA,NA,7573
NA,NA,NA,NA,63,64,65,66,0,0,0,0,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,7574
8,8,7,7,69,70,71,72,1,1,1,1,0,0,0,0,10,10,10,10,0,NA,NA,NA,7575
9,10,10,7,63,64,65,66,0,0,0,0,0,0,0,0,4,4,4,4,0,NA,NA,NA,7576
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7577
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7578
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7579
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7580
NA,8,8,8,58,59,60,61,1,1,1,1,NA,0,0,0,10,10,10,10,NA,3,3,3,7581
7,8,8,8,54,55,56,57,0,0,0,0,0,0,0,0,6,6,6,6,NA,NA,NA,NA,7582
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7583
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7584
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7585
NA,NA,NA,NA,NA,NA,58,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7586
NA,NA,NA,NA,NA,NA,54,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,7587
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7588
NA,NA,4,7,NA,NA,83,84,NA,NA,0,0,NA,NA,0,0,NA,NA,1,1,NA,NA,NA,NA,7589
9,2,2,6,33,34,35,36,1,1,1,1,0,1,1,1,4,4,4,4,1,1,1,1,7590
10,8,7,8,32,33,34,35,0,0,0,0,0,0,0,0,7,7,7,7,3,3,3,3,7591
NA,NA,NA,NA,6,7,8,9,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,7592
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7593
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7594
0,5,0,5,69,70,71,72,0,0,0,0,1,0,1,0,5,5,5,5,NA,NA,NA,NA,7595
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7596
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7597
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7598
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7599
NA,7,6,6,30,31,32,33,0,0,0,0,NA,0,0,0,4,4,4,4,NA,0,0,0,7600
2,4,3,3,29,30,31,32,1,1,1,1,0,0,1,0,4,4,4,4,1,1,1,2,7601
NA,NA,NA,NA,6,7,8,9,1,1,1,1,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,7602
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7603
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7604
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7605
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7606
NA,NA,NA,NA,NA,NA,49,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,7607
NA,NA,NA,NA,NA,NA,47,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,7608
NA,NA,NA,NA,NA,NA,20,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,7609
NA,NA,NA,NA,NA,NA,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7610
7,7,7,7,65,66,67,68,1,1,1,1,0,0,0,0,7,7,7,7,3,NA,0,0,7611
NA,NA,NA,5,57,58,59,60,0,0,0,0,NA,NA,NA,0,4,4,4,4,NA,NA,NA,NA,7612
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7613
4,5,NA,5,25,26,NA,28,1,1,NA,1,0,0,NA,0,4,4,NA,4,2,2,NA,2,7614
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7615
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7616
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7617
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7618
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7619
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7620
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7621
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7622
NA,NA,NA,NA,43,44,45,46,1,1,1,1,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,7623
5,8,7,8,43,44,45,46,0,0,0,0,0,1,0,0,10,10,10,10,0,1,1,1,7624
10,NA,8,7,17,18,19,20,0,0,0,0,0,NA,0,1,2,2,2,6,0,NA,0,1,7625
NA,7,6,7,15,16,17,18,0,0,0,0,NA,0,0,0,0,1,1,1,NA,0,0,0,7626
NA,NA,NA,6,11,12,13,14,1,1,1,1,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,7627
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7628
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7629
4,4,4,6,34,35,36,37,1,1,1,1,0,0,0,0,10,10,10,10,3,3,3,3,7630
NA,5,NA,7,33,34,35,36,0,0,0,0,NA,0,NA,0,4,4,4,4,NA,NA,NA,NA,7631
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7632
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7633
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7634
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7635
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7636
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7637
8,8,8,8,47,48,49,50,0,0,0,0,0,0,0,0,4,4,4,4,NA,NA,NA,NA,7638
NA,NA,NA,NA,46,47,48,49,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,7639
4,NA,NA,NA,16,17,18,19,1,1,1,1,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,7640
NA,NA,NA,NA,13,14,15,16,1,1,1,1,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,7641
NA,5,NA,NA,NA,67,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,0,NA,NA,7642
NA,7,NA,NA,NA,65,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7643
NA,NA,2,5,NA,NA,48,49,NA,NA,0,0,NA,NA,0,0,NA,NA,4,4,NA,NA,2,2,7644
NA,NA,0,8,NA,NA,67,68,NA,NA,1,1,NA,NA,0,0,NA,NA,4,4,NA,NA,NA,NA,7645
NA,NA,NA,NA,NA,NA,63,64,NA,NA,0,0,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,7646
5,NA,NA,NA,83,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,7647
7,NA,NA,NA,60,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,5,NA,NA,NA,2,NA,NA,NA,7648
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7649
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7650
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7651
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7652
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7653
6,7,6,7,41,42,43,44,1,1,1,1,0,0,1,0,4,4,4,4,2,2,NA,3,7654
7,7,6,7,40,41,42,43,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,7655
NA,NA,NA,10,11,12,13,14,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,7656
NA,NA,NA,NA,10,11,12,13,1,1,1,1,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,7657
NA,NA,NA,NA,8,9,10,11,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,7658
NA,NA,2,0,NA,NA,66,67,NA,NA,0,0,NA,NA,0,0,NA,NA,1,1,NA,NA,NA,NA,7659
NA,NA,10,NA,NA,NA,60,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,1,NA,7660
7,9,7,7,44,45,46,47,1,1,1,1,0,0,0,0,9,9,9,9,3,3,3,3,7661
10,10,9,10,39,40,41,42,0,0,0,0,0,0,0,0,5,5,5,5,NA,NA,NA,NA,7662
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7663
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7664
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7665
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7666
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7668
NA,7,7,7,47,48,49,50,1,1,1,1,NA,0,0,0,10,10,10,10,NA,3,3,3,7669
8,8,8,8,44,45,46,47,0,0,0,0,0,0,0,0,6,6,6,6,0,1,1,1,7670
NA,NA,NA,NA,10,11,12,13,1,1,1,1,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,7671
NA,NA,NA,NA,8,9,10,11,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,7672
5,5,0,0,74,75,76,77,1,1,1,1,0,0,0,0,10,10,10,10,3,3,1,3,7673
NA,NA,NA,NA,66,67,68,69,0,0,0,0,NA,NA,NA,NA,6,6,6,7,NA,NA,NA,NA,7674
7,10,5,8,34,35,36,37,0,0,0,0,1,0,0,1,10,10,10,10,1,NA,0,1,7675
NA,5,NA,NA,31,32,NA,NA,1,1,NA,NA,NA,0,NA,NA,6,6,NA,NA,NA,NA,NA,NA,7676
7,8,9,7,63,64,65,66,1,1,1,1,0,0,0,1,10,10,10,10,3,NA,NA,NA,7677
4,4,7,5,60,61,62,63,0,0,0,0,0,0,0,0,8,8,8,8,NA,NA,NA,NA,7678
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7679
