y_trust2005,y_trust2006,y_trust2007,y_trust2008,x_age2005,x_age2006,x_age2007,x_age2008,x_male2005,x_male2006,x_male2007,x_male2008,d_threat2005,d_threat2006,d_threat2007,d_threat2008,x_education2005,x_education2006,x_education2007,x_education2008,x_income2005,x_income2006,x_income2007,x_income2008,idpers
NA,NA,NA,3,NA,NA,NA,83,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA,NA,20533
0,0,4,0,54,55,56,57,0,0,0,0,0,0,0,0,3,3,3,3,0,1,1,0,20534
6,NA,6,NA,54,55,56,57,1,1,1,1,0,NA,0,NA,4,4,4,4,3,NA,NA,NA,20535
NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,20536
NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,20537
NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20538
NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20539
5,NA,NA,NA,70,NA,72,NA,0,NA,0,NA,0,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,20540
5,7,8,7,30,31,32,33,0,0,0,0,0,0,0,0,6,6,6,6,1,1,1,1,20541
NA,NA,NA,NA,54,55,56,NA,1,1,1,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,20542
NA,NA,NA,NA,48,49,50,NA,0,0,0,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,20543
0,NA,NA,NA,23,24,25,NA,0,0,0,NA,0,NA,NA,NA,6,6,6,NA,1,NA,NA,NA,20544
5,5,NA,NA,20,21,22,NA,0,0,0,NA,0,0,NA,NA,4,4,4,NA,0,1,NA,NA,20545
6,6,NA,NA,19,20,21,NA,0,0,0,NA,0,0,NA,NA,1,1,1,NA,0,0,NA,NA,20546
NA,10,NA,NA,15,16,17,NA,0,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,20547
NA,NA,NA,NA,84,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,20548
0,0,0,0,47,48,49,50,1,1,1,1,0,0,0,0,7,7,7,7,NA,NA,NA,NA,20549
NA,NA,NA,5,45,46,47,48,1,1,1,1,NA,NA,NA,0,7,7,7,7,NA,NA,NA,3,20550
NA,5,8,7,47,48,49,50,0,0,0,0,NA,1,0,0,6,6,6,6,NA,NA,0,1,20551
NA,NA,7,5,15,16,17,18,1,1,1,1,NA,NA,0,0,0,0,1,1,NA,NA,0,0,20552
NA,NA,6,6,12,13,14,15,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,20553
5,6,8,5,62,63,64,65,0,0,0,0,0,0,0,1,9,9,9,9,0,0,0,0,20554
NA,NA,NA,NA,62,63,64,65,1,1,1,1,NA,NA,NA,NA,10,10,10,10,NA,NA,NA,NA,20555
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20556
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20557
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20558
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20559
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20560
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20561
5,7,8,NA,41,42,43,44,1,1,1,1,0,0,0,NA,10,10,10,10,NA,3,3,NA,20562
5,8,7,8,35,36,37,38,0,0,0,0,0,0,0,0,10,10,10,10,2,2,2,2,20563
NA,NA,NA,NA,5,6,7,8,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,20564
NA,NA,NA,NA,4,5,6,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20565
5,6,5,6,46,47,48,49,1,1,1,1,0,1,0,0,4,4,4,4,2,2,1,2,20566
5,6,8,5,40,41,42,43,0,0,0,0,0,0,0,0,7,7,7,7,2,2,2,3,20567
3,4,5,7,38,39,40,41,0,0,0,0,0,0,0,0,4,4,4,4,2,2,3,3,20568
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20569
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20570
4,3,3,NA,32,33,34,NA,1,1,1,NA,0,1,0,NA,7,7,7,NA,2,3,3,NA,20571
8,7,6,NA,27,28,29,NA,0,0,0,NA,0,0,0,NA,4,4,4,NA,0,0,0,NA,20572
NA,NA,NA,NA,1,2,3,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20573
6,6,NA,2,58,59,60,61,1,1,1,1,0,0,NA,0,7,7,7,7,3,3,NA,3,20574
5,5,NA,NA,49,50,NA,NA,0,0,NA,NA,0,0,NA,NA,1,1,NA,NA,1,1,NA,NA,20575
9,9,10,7,78,79,80,81,1,1,1,1,0,0,0,0,9,9,9,9,NA,NA,NA,NA,20576
7,6,7,8,72,73,74,75,0,0,0,0,0,0,0,0,3,3,3,3,NA,NA,NA,NA,20577
NA,NA,NA,NA,37,38,39,40,1,1,1,1,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,20578
5,NA,7,5,34,35,36,37,0,0,0,0,0,NA,0,0,4,4,4,4,NA,NA,NA,NA,20579
NA,NA,NA,NA,5,6,7,8,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,20580
NA,NA,NA,NA,1,2,3,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20581
NA,5,4,NA,NA,45,46,NA,NA,1,1,NA,NA,0,0,NA,NA,4,4,NA,NA,NA,NA,NA,20582
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20583
5,7,7,8,41,42,43,44,0,0,0,0,0,0,0,0,7,7,7,7,1,1,1,3,20584
3,3,4,6,47,48,49,50,1,1,1,1,0,0,0,0,4,4,9,9,3,3,3,2,20585
3,3,2,3,41,42,43,44,0,0,0,0,0,0,0,1,4,4,4,4,0,0,1,2,20586
7,NA,NA,NA,21,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,20587
NA,NA,NA,NA,19,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20588
5,5,5,6,16,17,18,19,1,1,1,1,0,0,0,0,0,1,1,1,NA,0,0,0,20589
NA,NA,NA,NA,5,6,7,8,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,20590
NA,NA,NA,NA,5,6,7,8,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,20591
NA,NA,NA,4,NA,NA,NA,53,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,20592
